CAMG,CLIME CAPITAL LIMITED ,1, 
CVCG,CVC LIMITED ,101.5, 
IANG,IAG FINANCE (NEW ZEALAND) LIMITED ,101.38, 
NFNG,NUFARM FINANCE (NZ) LIMITED ,79.6, 
NSCG,NAOS SMALL CAP OPPORTUNITIES COMPANY LIMITED,101.201, 
14DO,1414 DEGREES LIMITED,0.095, 
1ADO,ADALTA LIMITED,0.026, 
8COO,8COMMON LIMITED ,0.11, 
A3DO,AURORA LABS LIMITED ,0.15, 
AB1O,ANIMOCA BRANDS CORPORATION LIMITED,0.1, 
ADNOB,ANDROMEDA METALS LIMITED,0.006, 
ADOO,ANTEO DIAGNOSTICS LIMITED ,0.006, 
AEBO,AFFINITY ENERGY AND HEALTH LIMITED,0.002, 
AGEO,ALLIGATOR ENERGY LIMITED,0.001, 
AGYO,ARGOSY MINERALS LIMITED ,0.029, 
AHZO,ADMEDUS LTD ,0.03, 
AIYOB,AUTHORISED INVESTMENT FUND LIMITED,0.03, 
AJMOB,ALTURA MINING LIMITED ,0.034, 
AKMOA,ASPIRE MINING LIMITED ,0.001, 
AMDOA,ARROW MINERALS LTD,0.001, 
ANPOB,ANTISENSE THERAPEUTICS LIMITED,0.012, 
AOWOB,AMERICAN PATRIOT OIL & GAS LIMITED,0.002, 
APCOA,AUSTRALIAN POTASH LIMITED ,0.005, 
APCOB,AUSTRALIAN POTASH LIMITED ,0.014, 
AQIO,ALICANTO MINERALS LIMITED ,0.002, 
ARCO,AUSTRALIAN RURAL CAPITAL LIMITED,0.12, 
ARDOA,ARGENT MINERALS LIMITED ,0.002, 
ATUO,ATRUM COAL LIMITED,0.16, 
AULOD,AUSTAR GOLD LIMITED ,0.001, 
AUROC,AURIS MINERALS LIMITED,0.001, 
AV1O,ADVERITAS LIMITED ,0.065, 
AVZO,AVZ MINERALS LIMITED,0.026, 
BATO,BATTERY MINERALS LIMITED,0.006, 
BCBO,BOWEN COKING COAL LIMITED ,0.011, 
BCNOB,BEACON MINERALS LIMITED ,0.014, 
BHDO,BENJAMIN HORNIGOLD LIMITED,0.046, 
BITOB,BIOTRON LIMITED ,0.028, 
BLKOB,BLACKHAM RESOURCES LIMITED,0.003, 
BLYO,BOART LONGYEAR LIMITED,0.001, 
BLZO,BLAZE INTERNATIONAL LIMITED ,0.004, 
BPLO,BROKEN HILL PROSPECTING LIMITED ,0.003, 
BRKOA,BROOKSIDE ENERGY LIMITED,0.002, 
BSMOC,BASS METALS LTD ,0.001, 
BSROB,BASSARI RESOURCES LIMITED ,0.002, 
BYHO,BRYAH RESOURCES LIMITED ,0.005, 
CADO,CAENEUS MINERALS LTD,-, 
CASO,CRUSADER RESOURCES LIMITED,-, 
CDVOA,CARDINAL RESOURCES LIMITED,0.2, 
CDXO,CARDIEX LIMITED ,0.01, 
CHKO,COHIBA MINERALS LIMITED ,0.005, 
CNJO,CONICO LTD,0.003, 
CNLO,CELAMIN HOLDINGS LIMITED,0.017, 
COBO,COBALT BLUE HOLDINGS LIMITED,0.017, 
CPHO,CRESO PHARMA LIMITED,0.091, 
CR1O,CONSTELLATION RESOURCES LIMITED ,0.091, 
CTLO,CENTENNIAL MINING LIMITED ,0.002, 
CTMOB,CENTAURUS METALS LIMITED,0.002, 
CTMOC,CENTAURUS METALS LIMITED,0.004, 
CVTOA,COVATA LIMITED,0.004, 
DAVO,DAVENPORT RESOURCES LIMITED ,0.007, 
DDDO,3D RESOURCES LIMITED,0.001, 
DRXOB,DIATREME RESOURCES LIMITED,0.001, 
DXNO,THE DATA EXCHANGE NETWORK LIMITED ,0.004, 
DYLO,DEEP YELLOW LIMITED ,0.074, 
E2EO,EON NRG LIMITED ,0.001, 
E2EOA,EON NRG LIMITED ,0.001, 
ECTOC,ENVIRONMENTAL CLEAN TECHNOLOGIES LIMITED. ,0.001, 
EDEOB,EDEN INNOVATIONS LTD,0.015, 
ELSO,ELSIGHT LIMITED ,0.14, 
EM1O,EMERGE GAMING LIMITED ,0.009, 
EMPOC,EMPEROR ENERGY LIMITED,0.001, 
EN1O,ENGAGE:BDR LIMITED,0.013, 
ESHO,ESPORTS MOGUL LIMITED ,0.001, 
ESRO,ESTRELLA RESOURCES LIMITED,0.002, 
EXROA,ELIXIR ENERGY LIMITED ,0.012, 
FAMO,FAMILY INSIGHTS GROUP LIMITED ,0.001, 
FAUO,FIRST AU LIMITED,0.004, 
FGROC,FIRST GRAPHENE LIMITED,0.105, 
FINOA,FIN RESOURCES LIMITED ,0.002, 
FPLOB,FREMONT PETROLEUM CORPORATION LIMITED ,0.002, 
GBZOA,GBM RESOURCES LIMITED ,0.001, 
GFSO,GASFIELDS LIMITED ,0.001, 
GPPO,GREENPOWER ENERGY LIMITED ,0.001, 
GPPOA,GREENPOWER ENERGY LIMITED ,0.001, 
GTEOA,GREAT WESTERN EXPLORATION LIMITED.,0.001, 
HASO,HASTINGS TECHNOLOGY METALS LTD,0.037, 
HAVOC,HAVILAH RESOURCES LIMITED ,0.001, 
HDYOC,HARDEY RESOURCES LIMITED,0.001, 
HE8OA,HELIOS ENERGY LTD ,0.165, 
HIPOA,HIPO RESOURCES LIMITED,0.002, 
HMXOD,HAMMER METALS LIMITED ,0.01, 
ICGO,INCA MINERALS LIMITED ,0.001, 
ICIO,ICANDY INTERACTIVE LIMITED,0.001, 
ICTOB,ICOLLEGE LIMITED,0.001, 
IHLOB,IMPRESSION HEALTHCARE LIMITED ,0.018, 
IMCOB,IMMURON LIMITED ,0.01, 
IMUOA,IMUGENE LIMITED ,0.006, 
IMUOB,IMUGENE LIMITED ,0.008, 
IPTOA,IMPACT MINERALS LIMITED ,0.001, 
IVROA,INVESTIGATOR RESOURCES LTD,0.003, 
JKAOC,JACKA RESOURCES LIMITED ,0.002, 
K2FOA,K2FLY LIMITED ,0.04, 
KFEOA,KOGI IRON LIMITED ,-, 
KISO,KING ISLAND SCHEELITE LIMITED ,0.017, 
KRROB,KING RIVER RESOURCES LIMITED,0.005, 
KRXO,KOPPAR RESOURCES LIMITED,0.03, 
KZAO,KAZIA THERAPEUTICS LIMITED,0.031, 
LHBO,LIONHUB GROUP LIMITED ,0.012, 
LHMO,LAND & HOMES GROUP LIMITED,0.012, 
LITO,LITHIUM AUSTRALIA NL,-, 
LNUOA,LINIUS TECHNOLOGIES LIMITED ,0.003, 
LPDOA,LEPIDICO LTD,0.006, 
LPDOB,LEPIDICO LTD,0.011, 
LPIOA,LITHIUM POWER INTERNATIONAL LIMITED ,0.001, 
LRSOB,LATIN RESOURCES LIMITED ,0.001, 
LSROA,LODESTAR MINERALS LIMITED ,0.001, 
LSXOA,LION SELECTION GROUP LIMITED. ,0.02, 
MA1OA,MONASH ABSOLUTE INVESTMENT COMPANY LIMITED,0.001, 
