14D,1414 Degrees Ltd,Industrials,,,,
1ST,1ST Group Ltd,Health Care,,,,
3PL,3P Learning Ltd,Consumer Discretionary,,,,
4DS,4DS Memory Ltd,Information Technology,,,,
5GN,5G Networks Ltd,,,,,
88E,88 Energy Ltd,Energy,,,,
8CO,8COMMON Ltd,Information Technology,,,,
8IH,8I Holdings Ltd,Financials,,,,
8EC,8IP Emerging Companies Ltd,,,,,
8VI,8VIC Holdings Ltd,Consumer Discretionary,,,,
9SP,9 Spokes International Ltd,Information Technology,,,,
ACB,A-Cap Energy Ltd,Energy,,,,
A2B,A2B Australia Ltd,Industrials,,,,
ABP,Abacus Property Group,Real Estate,,,,
ABL,Abilene Oil and Gas Ltd,Energy,,,,
AEG,Absolute Equity Performance Fund Ltd,,,,,
ABT,Abundant Produce Ltd,Consumer Staples,,,,
ACS,Accent Resources NL,Materials,,,,
ACQ,Acorn Capital Investment Fund Ltd,,,,,
ACF,Acrow Formwork and Construction Services Ltd,Industrials,,,,
ACR,ACRUX Ltd,Health Care,,,,
ACW,Actinogen Medical Ltd,Health Care,,,,
ACU,Acumentis Group Ltd,Real Estate,,,,
AD1,AD1 Holdings Ltd,Communication Services,,,,
ADA,Adacel Technologies Ltd,Information Technology,,,,
ADH,Adairs Ltd,Consumer Discretionary,,,,
1AD,Adalta Ltd,Health Care,,,,
ADD,Adavale Resources Ltd,Energy,,,,
ABC,Adelaide Brighton Ltd,Materials,,,,
ADR,Adherium Ltd,Health Care,,,,
AHZ,Admedus Ltd,Health Care,,,,
ADY,Admiralty Resources NL,Materials,,,,
ADT,Adriatic Metals Plc,Materials,,,,
ADJ,Adslot Ltd,Information Technology,,,,
ABV,Advanced Braking Technology Ltd,Consumer Discretionary,,,,
ADX,ADX Energy Ltd,Energy,,,,
AER,Aeeris Ltd,Communication Services,,,,
AEI,Aeris Environmental Ltd,Industrials,,,,
AFL,Af Legal Group Ltd,Industrials,,,,
AEB,Affinity Energy and Health Ltd,Health Care,,,,
AFR,African Energy Resources Ltd,Energy,,,,
A1G,African Gold Ltd,Materials,,,,
AFT,AFT Corporation Ltd,Information Technology,,,,
AFP,Aft Pharmaceuticals Ltd,Health Care,,,,
AGL,AGL Energy Ltd,Utilities,,,,
AGJ,Agricultural Land Trust,Real Estate,,,,
AGR,Aguia Resources Ltd,Materials,,,,
AHL,Ahalife Holdings Ltd,Consumer Discretionary,,,,
A1M,Aic Mines Ltd,Materials,,,,
AGI,Ainsworth Game Technology Ltd,Consumer Discretionary,,,,
A40,Alita Resources Ltd,Materials,,,,
AHQ,Allegiance Coal Ltd,Materials,,,,
AGS,Alliance Resources Ltd,Materials,,,,
AGE,Alligator Energy Ltd,Energy,,,,
A4N,Alpha Hpa Ltd,Materials,,,,
1AG,Alterra Ltd,Industrials,,,,
AGH,Althea Group Holdings Ltd,Health Care,,,,
3DA,Amaero International Ltd,Industrials,,,,
ABR,American Pacific Borates Ltd,Materials,,,,
ADN,Andromeda Metals Ltd,Materials,,,,
AAR,Anglo Australian Resources NL,Materials,,,,
AGG,Anglogold Ashanti Ltd,Materials,,,,
ADO,Anteotech Ltd,Health Care,,,,
AGX1,Antipodes Global Shares (Quoted Managed Fund),,,,,
AHX,Apiam Animal Health Ltd,Health Care,,,,
ADI,Apn Industria REIT,Real Estate,,,,
ADV,Ardiden Ltd,Materials,,,,
AGY,Argosy Minerals Ltd,Materials,,,,
AHK,Ark Mines Ltd,Materials,,,,
AAJ,Aruma Resources Ltd,Materials,,,,
AHY,Asaleo Care Ltd,Consumer Staples,,,,
AFA,Asf Group Ltd,Financials,,,,
AHN,Athena Resources Ltd,Materials,,,,
AIA,Auckland International Airport Ltd,Industrials,,,,
ACP,Audalia Resources Ltd,Materials,,,,
AD8,Audinate Group Ltd,Information Technology,,,,
AEE,Aura Energy Ltd,Energy,,,,
ABW,Aurora Absolute Return Fund,,,,,
A3D,Aurora Labs Ltd,Industrials,,,,
AC8,Auscann Group Holdings Ltd,Health Care,,,,
AGD,Austral Gold Ltd,Materials,,,,
AAC,Australian Agricultural Company Ltd,Consumer Staples,,,,
AAP,Australian Agricultural Projects Ltd,Consumer Staples,,,,
ABX,Australian Bauxite Ltd,Materials,,,,
AHF,Australian Dairy Nutritionals Group,Consumer Staples,,,,
AEF,Australian Ethical Investment Ltd,Financials,,,,
AFG,Australian Finance Group Ltd,Financials,,,,
AFI,Australian Foundation Investment Company Ltd,,,,,
AGM,Australian Governance & Ethical INDEX Fund,,,,,
ABA,Auswide Bank Ltd,Financials,,,,
AEV,Avenira Ltd,Materials,,,,
A200,Betashares Australia 200 ETF,,,,,
AGVT,Betashares Australian Government Bond ETF,,,,,
AAA,Betashares Australian High Interest Cash ETF,,,,,
ACDC,ETFs Battery Tech & Lithium ETF,,,,,
4CE,Force Commodities Ltd,Materials,,,,
360,LIFE360 Inc,Information Technology,,,,
1AL,Oneall International Ltd,Consumer Discretionary,,,,
3DP,Pointerra Ltd,Information Technology,,,,
A2M,The a2 Milk Company Ltd,Consumer Staples,,,,
2BE,Tubi Ltd,Energy,,,,
AIB,Aurora Global Income Trust,,,,,
AIQ,Alternative Investment Trust,,,,,
AIR,Astivita Ltd,Industrials,,,,
AIS,Aeris Resources Ltd,Materials,,,,
AIV,Activex Ltd,Materials,,,,
AIY,Authorised Investment Fund Ltd,,,,,
AIZ,Air New Zealand Ltd,Industrials,,,,
AJC,Acacia Coal Ltd,Energy,,,,
AJJ,Asian American Medical Group Ltd,Health Care,,,,
AJL,AJ Lucas Group Ltd,Industrials,,,,
AJM,Altura Mining Ltd,Materials,,,,
AJQ,Armour Energy Ltd,Energy,,,,
AJX,Alexium International Group Ltd,Materials,,,,
AJY,Asaplus Resources Ltd,Materials,,,,
AKG,Academies Australasia Group Ltd,Consumer Discretionary,,,,
AKM,Aspire Mining Ltd,Materials,,,,
AKN,Auking Mining Ltd,Materials,,,,
AKP,Audio Pixels Holdings Ltd,Consumer Discretionary,,,,
AL3,AML3D Ltd,Industrials,,,,
AL8,Alderan Resources Ltd,Materials,,,,
ALC,Alcidion Group Ltd,Health Care,,,,
ALF,Australian Leaders Fund Ltd,,,,,
ALG,Ardent Leisure Group Ltd,Consumer Discretionary,,,,
ALI,Argo Global Listed Infrastructure Ltd,,,,,
ALK,Alkane Resources Ltd,Materials,,,,
ALL,Aristocrat Leisure Ltd,Consumer Discretionary,,,,
ALQ,Als Ltd,Industrials,,,,
ALT,Analytica Ltd,Health Care,,,,
ALU,Altium Ltd,Information Technology,,,,
ALX,Atlas Arteria,Industrials,,,,
ALY,Alchemy Resources Ltd,Materials,,,,
AMA,AMA Group Ltd,Industrials,,,,
AMB,Ambition Group Ltd,Industrials,,,,
AMC,Amcor Plc,Materials,,,,
AMD,Arrow Minerals Ltd,Materials,,,,
AME,Alto Metals Ltd,Materials,,,,
AMG,Ausmex Mining Group Ltd,Materials,,,,
AMH,Amcil Ltd,,,,,
AMI,Aurelia Metals Ltd,Materials,,,,
